EventNumber,TriggerBits,Timestamp
109491,1000111,1989-09-29 13:55:03
109492,1000111,1989-09-29 13:55:03
109493,11101000,1989-09-29 13:55:04
109494,1000111,1989-09-29 13:55:04
109495,1000111,1989-09-29 13:55:05
109496,11101000,1989-09-29 13:55:05
109497,11101000,1989-09-29 13:55:05
109498,11101000,1989-09-29 13:55:06
109499,1000111,1989-09-29 13:55:07
109500,11101000,1989-09-29 13:55:07
109501,11101000,1989-09-29 13:55:07
109502,1000111,1989-09-29 13:55:07
109503,1000111,1989-09-29 13:55:07
109504,11101000,1989-09-29 13:55:08
109505,1000111,1989-09-29 13:55:08
109506,1000111,1989-09-29 13:55:10
109507,1000111,1989-09-29 13:55:10
109508,11101000,1989-09-29 13:55:11
109509,11101000,1989-09-29 13:55:11
109510,11101000,1989-09-29 13:55:11
109511,11101000,1989-09-29 13:55:12
109512,11101000,1989-09-29 13:55:12
109513,11101000,1989-09-29 13:55:13
109514,1000111,1989-09-29 13:55:13
109515,1000111,1989-09-29 13:55:14
109516,1000111,1989-09-29 13:55:14
109517,1000111,1989-09-29 13:55:16
109518,11101000,1989-09-29 13:55:17
109519,1000111,1989-09-29 13:55:18
109520,11101000,1989-09-29 13:55:20
109521,11101000,1989-09-29 13:55:20
109522,1000111,1989-09-29 13:55:22
109523,1000111,1989-09-29 13:55:22
109524,11101000,1989-09-29 13:55:22
109525,1000111,1989-09-29 13:55:23
109526,11101000,1989-09-29 13:55:24
109527,1000111,1989-09-29 13:55:24
109528,1000111,1989-09-29 13:55:26
109529,11101000,1989-09-29 13:55:27
109530,11101000,1989-09-29 13:55:28
109531,1000111,1989-09-29 13:55:28
109532,1000111,1989-09-29 13:55:29
109533,11101000,1989-09-29 13:55:30
109534,1000111,1989-09-29 13:55:30
109535,11101000,1989-09-29 13:55:30
109536,1000111,1989-09-29 13:55:30
109537,11101000,1989-09-29 13:55:31
109538,11101000,1989-09-29 13:55:32
109539,1000111,1989-09-29 13:55:33
109540,11101000,1989-09-29 13:55:34
109541,11101000,1989-09-29 13:55:34
109542,11101000,1989-09-29 13:55:34
109543,11101000,1989-09-29 13:55:34
109544,11101000,1989-09-29 13:55:35
109545,1000111,1989-09-29 13:55:35
109546,11101000,1989-09-29 13:55:36
109547,1000111,1989-09-29 13:55:36
109548,1000111,1989-09-29 13:55:36
109549,11101000,1989-09-29 13:55:36
109550,11101000,1989-09-29 13:55:37
109551,1000111,1989-09-29 13:55:37
109552,11101000,1989-09-29 13:55:38
109553,1000111,1989-09-29 13:55:38
109554,11101000,1989-09-29 13:55:38
109555,11101000,1989-09-29 13:55:39
109556,11101000,1989-09-29 13:55:40
109557,11101000,1989-09-29 13:55:40
109558,11101000,1989-09-29 13:55:40
109559,1000111,1989-09-29 13:55:40
109560,11101000,1989-09-29 13:55:41
109561,1000111,1989-09-29 13:55:41
109562,11101000,1989-09-29 13:55:41
109563,1000111,1989-09-29 13:55:41
109564,1000111,1989-09-29 13:55:42
109565,11101000,1989-09-29 13:55:43
109566,11101000,1989-09-29 13:55:43
109567,1000111,1989-09-29 13:55:44
109568,11101000,1989-09-29 13:55:45
109569,1000111,1989-09-29 13:55:47
109570,1000111,1989-09-29 13:55:47
109571,11101000,1989-09-29 13:55:48
109572,1000111,1989-09-29 13:55:48
109573,1000111,1989-09-29 13:55:48
109574,11101000,1989-09-29 13:55:50
109575,11101000,1989-09-29 13:55:50
109576,1000111,1989-09-29 13:55:50
109577,11101000,1989-09-29 13:55:50
109578,11101000,1989-09-29 13:55:51
109579,1000111,1989-09-29 13:55:51
109580,11101000,1989-09-29 13:55:51
109581,1000111,1989-09-29 13:55:51
109582,1000111,1989-09-29 13:55:51
109583,1000111,1989-09-29 13:55:53
109584,11101000,1989-09-29 13:55:54
109585,1000111,1989-09-29 13:55:55
109586,11101000,1989-09-29 13:55:55
109587,1000111,1989-09-29 13:55:55
109588,1000111,1989-09-29 13:55:56
109589,11101000,1989-09-29 13:56:01
109590,1000111,1989-09-29 13:56:01
109591,11101000,1989-09-29 13:56:02
109592,1000111,1989-09-29 13:56:02
109593,1000111,1989-09-29 13:56:03
109594,11101000,1989-09-29 13:56:04
109595,1000111,1989-09-29 13:56:04
109596,11101000,1989-09-29 13:56:05
109597,11101000,1989-09-29 13:56:06
109598,11101000,1989-09-29 13:56:07
109599,11101000,1989-09-29 13:56:09
109600,11101000,1989-09-29 13:56:09
109601,11101000,1989-09-29 13:56:09
109602,1000111,1989-09-29 13:56:10
109603,1000111,1989-09-29 13:56:10
109604,1000111,1989-09-29 13:56:12
109605,1000111,1989-09-29 13:56:12
109606,11101000,1989-09-29 13:56:12
109607,11101000,1989-09-29 13:56:13
109608,1000111,1989-09-29 13:56:13
109609,1000111,1989-09-29 13:56:13
109610,11101000,1989-09-29 13:56:13
109611,11101000,1989-09-29 13:56:14
109612,11101000,1989-09-29 13:56:15
109613,1000111,1989-09-29 13:56:16
109614,11101000,1989-09-29 13:56:17
109615,11101000,1989-09-29 13:56:17
109616,1000111,1989-09-29 13:56:17
109617,1000111,1989-09-29 13:56:17
109618,11101000,1989-09-29 13:56:18
109619,1000111,1989-09-29 13:56:18
109620,11101000,1989-09-29 13:56:18
109621,11101000,1989-09-29 13:56:19
109622,1000111,1989-09-29 13:56:19
109623,1000111,1989-09-29 13:56:20
109624,1000111,1989-09-29 13:56:20
109625,1000111,1989-09-29 13:56:20
109626,11101000,1989-09-29 13:56:21
109627,1000111,1989-09-29 13:56:21
109628,11101000,1989-09-29 13:56:21
109629,1000111,1989-09-29 13:56:21
109630,1000111,1989-09-29 13:56:23
109631,11101000,1989-09-29 13:56:25
109632,1000111,1989-09-29 13:56:25
109633,11101000,1989-09-29 13:56:28
109634,11101000,1989-09-29 13:56:29
109635,11101000,1989-09-29 13:56:29
109636,11101000,1989-09-29 13:56:30
109637,1000111,1989-09-29 13:56:30
109638,1000111,1989-09-29 13:56:31
109639,11101000,1989-09-29 13:56:31
109640,1000111,1989-09-29 13:56:33
109641,1000111,1989-09-29 13:56:33
109642,11101000,1989-09-29 13:56:33
109643,11101000,1989-09-29 13:56:33
109644,11101000,1989-09-29 13:56:35
109645,11101000,1989-09-29 13:56:35
109646,1000111,1989-09-29 13:56:36
109647,1000111,1989-09-29 13:56:37
109648,1000111,1989-09-29 13:56:38
109649,1000111,1989-09-29 13:56:39
109650,11101000,1989-09-29 13:56:39
109651,1000111,1989-09-29 13:56:39
109652,1000111,1989-09-29 13:56:42
109653,1000111,1989-09-29 13:56:42
109654,1000111,1989-09-29 13:56:42
109655,11101000,1989-09-29 13:56:43
109656,1000111,1989-09-29 13:56:44
109657,11101000,1989-09-29 13:56:48
109658,1000111,1989-09-29 13:56:49
109659,1000111,1989-09-29 13:56:50
109660,11101000,1989-09-29 13:56:51
109661,11101000,1989-09-29 13:56:51
109662,1000111,1989-09-29 13:56:51
109663,1000111,1989-09-29 13:56:52
109664,1000111,1989-09-29 13:56:52
109665,11101000,1989-09-29 13:56:53
109666,11101000,1989-09-29 13:56:53
109667,1000111,1989-09-29 13:56:53
109668,1000111,1989-09-29 13:56:54
109669,11101000,1989-09-29 13:56:54
109670,1000111,1989-09-29 13:56:54
109671,1000111,1989-09-29 13:56:55
109672,1000111,1989-09-29 13:56:55
109673,11101000,1989-09-29 13:56:55
109674,1000111,1989-09-29 13:56:56
109675,1000111,1989-09-29 13:56:57
109676,11101000,1989-09-29 13:56:58
109677,1000111,1989-09-29 13:56:59
109678,11101000,1989-09-29 13:56:59
109679,1000111,1989-09-29 13:57:00
109680,1000111,1989-09-29 13:57:00
109681,11101000,1989-09-29 13:57:01
109682,1000111,1989-09-29 13:57:01
109683,11101000,1989-09-29 13:57:02
109684,1000111,1989-09-29 13:57:03
109685,1000111,1989-09-29 13:57:03
109686,11101000,1989-09-29 13:57:04
109687,11101000,1989-09-29 13:57:04
109688,1000111,1989-09-29 13:57:05
109689,11101000,1989-09-29 13:57:05
109690,1000111,1989-09-29 13:57:05
109691,1000111,1989-09-29 13:57:06
109692,1000111,1989-09-29 13:57:06
